Bald_X,Bald_Y,VarRatio_X,VarRatio_Y,Entropy_X,Entropy_Y,MeanSTD_X,MeanSTD_Y,Random_X,Random_Y
9.905043065404648,80.0494834814131,3.1010134826673337,80.85355052824501,3.9337127552728646,80.15099386485701,35.872112487445605,80.9519166130048,18.286818638341913,80.52295451811433
12.673683865515152,80.42162601156919,7.510250044565424,80.99015283774371,7.8342514532672,80.32530834931396,37.5155978939039,81.14365575266953,23.71032047965427,80.51739641437979
14.112365705937876,80.6049180211864,8.637211466136826,81.18929175440422,8.535471893356075,80.49880764522314,39.323431841008,81.99807524926229,28.14773107709165,80.44613925588916
15.55265655305223,80.78974349737244,11.00714504385315,81.38236813438623,10.398088687342131,80.871892270569,38.74821194874761,81.31637382622048,44.66475941199745,81.06876030484655
16.462549837173228,80.94220228281098,12.977096555938218,81.58609149860025,11.947660642002802,81.12443250685641,39.73430319262259,81.45393689365044,47.60853180180068,81.32878147543965
17.300727394466946,81.08914001853988,18.286818638341913,81.65625186958783,11.630702742185854,80.71721024363664,46.71911617007031,81.5762151758104,45.404327844903676,81.19103858700652
19.272909882216894,81.29386350609558,23.71032047965427,81.66180997332239,15.57506771768574,81.2323075072355,46.39041908877866,81.99807524926229,53.35106316319023,81.4747961300189
23.956843290623013,81.28886121273449,29.462519402258295,81.67485299008611,21.738137991904324,81.18143100769394,49.57625233822087,81.6942607482033,54.87080378610342,81.65304669643425
26.1755485893417,81.09389528506831,33.60410262653316,81.818733768761,29.13382232096663,81.21493843306504,53.293057795903465,81.9629202431413,56.99089996043462,81.80090151927935
27.654685455154166,80.97006426281743,36.36515810938309,81.9720911143033,31.15082713798361,81.07654165007492,52.47131509267433,81.76370854178901,57.73046839334084,81.96700184691154
29.31871442919318,80.80509775893913,37.022552271966404,82.11054107668103,32.91383875582068,80.92949892794213,54.03262622880969,82.17155756207674,58.38786255592417,82.12646744553025
30.61295918677908,80.62157115866152,38.131904921325756,82.27218239843755,33.07818729646651,80.80280504114862,55.69254648933257,82.4672162584827,59.53830234044496,82.31854624708987
30.61295918677908,80.44310309446138,39.0395570889834,82.44383516877272,40.597133031013186,81.9682699179858,54.77219466171593,82.3052994331892,60.88596037374076,82.48596559508056
30.61295918677908,80.29229321313076,40.39801845292304,82.60570425138027,40.473871625528815,81.54768357663974,56.744377149465876,82.76269663239384,63.37808188098843,82.63948042022867
38.14311050364252,80.06496677038791,40.9669172474663,82.78327650398951,41.21344005843504,81.79631608369834,55.92263444623673,82.60946666006213,66.11224396627811,82.77620977209844
39.73430319262259,80.27133122190334,41.78865995069545,82.95728044042825,40.9669172474663,81.66792388743039,57.23742277140336,82.99511354995124,71.53574580759047,82.82432707014321
40.91761268527256,80.47204228790591,42.19953130231002,83.13933921608864,43.84301670876832,82.5805274666176,58.25873155970244,83.27544658968337,74.71813118555062,82.99575486961292
41.45996286940378,80.63030532167295,42.85692546489334,83.3044148970046,43.43214535715373,82.28135326959955,57.73046839334084,83.12914935924198,77.45229327084031,83.14035820177331
40.63822016617465,80.08442013345882,43.18562254618499,83.48987029161388,41.95300849134128,82.15092310196225,58.71655963721582,83.45998004486367,82.87579511215267,83.1641654127696
42.38442341053657,80.78599177735163,43.92519097909123,83.68551554306983,44.25388806038288,82.76367316034164,59.254427588420356,83.6177066775084,88.29929695346502,83.11747734139944
42.939099735216246,80.94525923986498,44.41823660102871,83.85408488919036,42.44605411327876,82.46273272147016,59.94917369205953,83.785783734441,93.98575645981072,83.12670379359878
43.678668168122485,81.09474443980554,44.91128222296619,84.07069213187373,45.404327844903676,83.058839347,59.70265088109079,81.99807524926229,96.15010031816192,83.3196212987604
44.41823660102871,81.24402584260916,49.644520193566066,84.56428879752612,42.939099735216246,82.87847888081404,62.66092461271572,83.92445224694706,96.68107252640229,83.51860568792148
44.91128222296619,81.41847619182406,50.86304723064015,84.76025430162582,48.19825303588277,83.27180735509528,65.2399324813118,84.05653084364067,97.73759885912548,83.71433828100754
45.897373466841174,84.39472957959764,52.127677234960316,84.95331900491931,48.691298657820255,83.52655377626188,71.00983047752382,84.10656042797399,98.32455793286056,83.90388040127279
52.06044374105976,84.44822632804262,50.08826125330981,84.30302086797766,49.18434427975774,83.74257874141115,75.66175917011996,84.23576781278967,99.29421432267097,84.07225457659021
60.19569650302827,84.43697116798018,52.652098487384734,85.10700057317945,50.78674255105457,84.08750539567072,81.3966582463402,84.29690695386967,100.0707611772225,84.21131215635769
65.407893077796,84.47770412820618,53.90936482332532,85.2736047326224,49.34869282040357,83.93007210738976,86.82016008765257,84.28467912565367,99.1463006360897,84.46605857752428
66.35876677724686,84.62935103349207,54.279149039778446,85.42933971142891,53.606814100772766,84.23687943353659,92.24366192896491,84.28467912565367,100.1323918799647,84.5598052605136
67.5155276594848,84.79730730855506,55.34741455397632,85.59356623760765,54.71056395897374,84.3521869272628,96.43454971543355,84.30709681071633,106.04893934321453,84.69227339952022
68.47886295157807,85.016718441518,55.758285905590895,85.75201851157327,56.25133152752839,84.56635588277216,101.61152874577715,84.71672905595221,109.50025869677694,84.84938246508334
69.81008613080927,85.22571240544308,57.047789839888935,85.91756449357445,58.08264383758191,84.73885560224782,103.46044982804273,84.8670294444405,114.61236330318138,84.94466006436443
70.46000990518141,85.40019054517663,57.43464102017836,86.08339265622678,59.11099613476581,84.90463001620469,103.33718842255834,84.42529915013763,117.67072900316955,85.1214119421483
71.94661715920505,85.57216753822965,58.14133974495542,86.24877403284813,60.68874212496577,85.04688041778412,105.7038074078583,84.97860837691148,121.49770216392244,85.25475349745606
